Indonesian	Minangkabau
Rumah saya di Jakarta sangat besar dan luas dengan lima kamar tidur, taman yang indah, serta kolam renang yang besar dan mewah di halaman belakang, sedangkan mobil saya yang bermerk Lamborghini berwarna merah menyala sangat cepat jika dijalankan dengan kecepatan yang tinggi.	Rumah saya di Padang sangat luas dan bagus dengan lima bilik tidur, halaman yang cantik, dengan kolam renang yang besar dan mewah di belakang, sedangkan kereta saya yang berjenama Lamborghini berwarna merah menyala sangat pantas jika ikutkan dengan kelajuan yang tinggi.
.Saat aku sedang menulis essay di meja belajar, adikku sedang menonton film di televisi, dan ibuku sedang memasak makan malam di dapur.	.Saat nan ado bariso tulis essay di mangaibo adiak, adiak anan nak tonton film di televisi, jo bakurau ado mamasak ka ampek makan sajomuik rumah.
.Keberhasilan dalam suatu proses pengembangan sumber daya manusia harus diiringi dengan perbaikan infrastruktur dan pendidikan yang memadai, serta pengelolaan lingkungan yang berkelanjutan dan perlindungan terhadap hak asasi manusia.	.Kapayuang lai dalam pagembangan saro lakuak manusia kudu dinyaratkan dengan paramiakan infrastruktur, pambarangkatan yang cukua, nagari yang berkelanjutan, dan rinduak linduang hak asasi manusia.
Di pagi hari yang cerah ini, aku bangun dengan perasaan yang bahagia dan penuh semangat, lalu aku melihat matahari sedang terbit dengan warna merah keemasan yang sangat cantik serta mendengar suara burung-burung yang menyanyikan lagu kegembiraan.	Dalam sako pagi nan ceria, akhe sakaliyo talambut jo hati yang lumajan jua sambuak, indak hanyo itulah tapo, baarancah mato hari pun kok maturun sabalun rupa nan kuning mas ranah ampek, ndak taujo ciek sapi, buruang-jabat pun kae konsina Baraso.
Saya ingin membeli sebuah rumah yang luas, nyaman, dan berlokasi strategis agar dapat menikmati kehidupan yang lebih baik; selain itu, saya ingin memiliki mobil yang dapat mengantar saya ke tempat kerja dengan cepat, aman, dan tangguh.	Saya kamariangan mangaduakan rumah yang pandai, nyaman, di kawasan andak-dak pangambilan supayo pakayian pangan baruik; sapadonyo, saya ingin mangkaliakan mobil yang bakanya bisa bawian sampai ka pekerjaan ku dengan badasuik, aman, dan tumbuak.
.Anak-anak kecil merasa senang bermain di taman, remaja cenderung menghabiskan waktu bersama teman-teman mereka di mal atau pusat perbelanjaan, sedangkan orang dewasa lebih suka menghabiskan waktu bersama keluarga mereka di rumah atau pergi ke tempat wisata yang jauh dari hiruk-pikuk kota.	.Anak-anak jareong mangarapirak juo mamain di tempua, remaja muak jumangkamo dengan koko-koko sahabat di mal atau pusat pamakaran, manakok anak tuorayo hatuo mayojuak dalam kabawo rumah sambil sogok ka luar mandza jo ninggangkan papanjariyo dari rantaun rantaun gadang.
Saya suka makanan pedas, saya suka minum kopi hitam, dan saya suka menonton film horor di malam hari.	Saya suko makanna pedas, saya suko minum kopi hitam, dan saya suko mamantau film horor di malam hari.
Saya ingin pergi ke pasar untuk membeli bahan-bahan makanan seperti sayuran segar, daging sapi yang terjamin kualitasnya, beras yang berkualitas tinggi, mie instan favorit saya, serta beberapa jenis buah-buahan yang biasanya saya konsumsi.	Aku ingin bosua ka pasar mancari bahan-bahan makanan, macam pesunyah basiak, geweh sapi yang panggeda, beras nan tinggi kualitasnyo, mie instan pusako, lo letak itam basiak nan biasa disondo.
Masyarakat Indonesia memiliki beragam budaya, tradisi, bahasa, adat istiadat, dan agama yang berbeda-beda di setiap daerahnya.	Masyarakat Minangkabau memiliki adat istiadat yang kental, bahasa yang khas, tradisi yang unik, budaya yang beragam, dan agama Islam sebagai keyakinan yang dianut sejak turun-temurun di Negeri Serambi Mekah.
Hari ini saya bangun pagi-pagi dan pergi ke pasar untuk membeli sayur dan buah untuk persediaan minggu depan, kemudian saya kembali ke rumah dan mulai memasak untuk keluarga selama hari ini.	Pagio tok adi ko lambuang sik, tuo lah jalan maga-baga pungkaa ba pasar untuak mambeli baluik dan kakau kak aluaik untuak tabla minggu bekenek, huo balun pulang sajuang kito dan mulai lah masak kayo surang tabae kito sehari ni.
Setiap pagi, saya bangun, membersihkan diri, mengambil sarapan, dan berangkat ke kantor dengan mobil yang saya miliki.	Tiap pagi, awak bangun, mealui diri, mo beliari lauk, mambawakan sirapikan, dan bawak mo ke pekan bertumbuh dengan mobil nan awak kawanakian.
Saya suka belanja di pasar tradisional karena saya bisa mendapatkan berbagai macam barang mulai dari sayur-sayuran, buah-buahan, daging, ikan, bahan masakan, rempah-rempah, hingga aksesori dan pernak-pernik rumah tangga yang unik dan murah meriah.	Saya gemar mamboh di paciso adat karena ko sadonyo sakutek ragam barang dari kawan-kawan, sayur, buo, gageh, iko, bahan masakan, panyoso, iyo tacuak-tacuak rumah tingga nan lah unyoik nan rendah sajuto.
".""Saat ini, banyak orang sedang mempersiapkan diri mereka untuk memasuki dunia kerja dengan mengejar pendidikan yang lebih tinggi, mengikuti kursus-kursus tambahan, dan mencari pengalaman melalui magang atau kerja sampingan, sementara di lain pihak, banyak orang juga memanfaatkan teknologi untuk mengembangkan bisnis mereka, berjualan secara online, dan mengeksplorasi peluang usaha baru."""	".""Saat nini, babanyak orang nan tunggang-gonta tengah mangaruahkan dirinyo untuak mariapoak sado dunyo karih dangan mambiakkan anak bundo nan lisan sato, mikian ngikuto prêtekat tambahan, jo mencari pengalaman mangguruak urang lain atau cari tambunan, lamak ayah ba'ncuang, babanyak orang Sang ateh mamako teknologi untuak mamusnahkan dumai bisnisnyo, berdagang sarak online, jo sadaro saminyak untuak mangiatkan"
Kemarin saya pergi ke pasar untuk membeli sayur, buah, telur, ayam, bumbu dapur, dan sejumlah barang kebutuhan lainnya yang dibutuhkan untuk memasak makanan sehari-hari.	Sabalunyo aku palanduang ka pasar untuak mamaliak sayuik, buah-buahan, telur, ayam, panyumbuak masakan, dan tanduak dek tanduak barang keperluan laen nan mupelok untuk disiapkan masakan harian.
.Ayah pergi ke pasar untuk membeli bahan makanan, ibu mengurus rumah dan anak-anak, sedangkan adikku menyelesaikan tugas sekolah dengan sungguh-sungguh.	.Abang ado ba pasar untuak maambek bahan masak, kakak urang mambuang rumah jo anak-anak, sarato si adik mencari umpamo-basamoan sakolah jo ragu-ragu.
Di seluruh kampung di Indonesia, makanan tradisional sangat populer dan dijaga dengan baik oleh masyarakat lokal, sementara pada kampung-kampung di Minangkabau, adat dan budaya masih dijaga dengan teguh serta menjadi ciri khas yang membedakan dengan kampung-kampung lain di Nusantara.	Di sembarang kampuang di Indonesia, masakan adat amat populer dan dipeliharakan untuak sambuaiknyo oleh masyarakat dioik, sedangkan di kampuang-kampuang di Minangkabau, adat dan budayo masihtuo dijagakan dengan kuat dan melambangkan jati diri kampuang Minang yang nampak bedo dari pada kampuang lainnyo dalam Nusantara.
Saya suka makan nasi goreng, mie goreng, bubur ayam, sate, dan rendang.	Saya suka makan nasi goreng, mipinang balado, padang solok, gulai itiak lado mudo, dan buncis panggang.
Saya suka makan mie goreng, ayam goreng, dan nasi goreng saat sarapan, makan siang, serta makan malam.	Aku suko makan mi goreng, ayam goreng, nan nasi goreng mangga sarapan, masangan, sapalai malam.
Dia pergi ke toko buku, kemudian ke toko mainan, lalu makan siang di restoran Jepang, dan akhirnya pulang ke rumah.	Diok mangajual buku, sado mangajual mainan, lalok mencampur makan siang di restoran Jepang, dangakah sarato mandaki ka rumah.
