Indonesian	Sundanese
Pemerintah telah memberikan bantuan sosial kepada masyarakat yang terdampak pandemi covid-19, membangun jalan tol baru untuk mempermudah mobilitas, serta mengimplementasikan kebijakan baru dalam mengurangi dampak lingkungan.	Pamarintah geus mancari bantuan sosial ka wargi nu terdampak pan-demi covid-19, ngabangun jalan tol anyar pikeun nganehakeun mobilitas, sareng ngimplementasikeun kahirupan anyar dina ngahareupkeun dampak lingkungan.
Ibu saya suka memasak, membaca buku, dan berkebun di halaman rumah kami.	Bapa abdi gemar masak, moal kaos baju, sareng bajulan di halaman imah kamari.
Hari ini saya pergi ke pasar untuk membeli sayuran, buah-buahan, daging sapi, ikan dan bahan-bahan lainnya yang dibutuhkan untuk memasak makanan yang lezat dan bergizi.	Dinten ieu abdi lungsur ka pasar pikeun nyetokah sayur-sayuran, buah-buahan, daging sapi, ikan sareng bahan-bahan nu sanésna nu kedah pikeun nyiapkeun sajian lamun deui nuju magrib wéh sagnéh sareng.
Hari Minggu, saya pergi ke pasar untuk membeli sayuran segar, ikan laut yang masih segar, beras putih, telur ayam kampung, dan daging sapi potong.	Minggu ré, abdi teu acan ka pasar pikeun ngadegur sayur segar, leueut laut anu masih segar, wajik putih, endog ayam walewangko, sareng sasapi sapi potong.
Saya suka pergi ke pantai, menikmati sinar matahari, merasakan angin laut yang sejuk, dan memandangi lautan yang luas.	Abdi kalayan badé ka pantai, nyesaakang tumaréng surya, nambéang angin samudra nu damel, sareng ngajén dangan samudra nu luas.
Ketika aku bangun di pagi hari, aku membersihkan kamar tidurku, menyapu lantai, merapikan selimut, menata bantal, menggosok meja sidik jari, membersihkan kaca jendela, dan memasak sarapan untuk diriku sendiri.	Sanggeus abdi siga di poé, abdi nutup kamareun, ngapura lantis, ngalangsungkeun tabir, ngatur guling, ngolah meja sidik jari, njaga jandela, sareng ngadamel sarapan kanggo diri abdi ka hareup.
Di pagi hari yang indah ini, saya bangun dari tempat tidur saya di rumah saya yang besar dan mewah, lalu pergi ke kamar mandi untuk membersihkan diri dengan sabun mandi yang harum dan segar, kemudian berganti pakaian menjadi kemeja bersih dan celana panjang favorit saya, serta mengancingkan sepatu yang nyaman untuk melindungi kaki saya saat berjalan ke luar rumah.	Di kenging pagi nu indah ieu, abdi geus nunaun tina pangeusuran abdi nu gaduh ukur sareng nyaman, teuing panjaa kana mandi ka kamar mandi pikeun ngaamplung diri sareng sabun mandi nu haneut sareng manjuwang, teuing ngarenta ragana ngaliwatan dina ngalalana kanehna sareng celana panjang abdi hirup di rada-rada, sareng sanggeus geus kesolok sandal nu damel pisan sangkan-lam
Saya suka makan nasi goreng yang pedas dan gurih dengan telur dadar yang lezat, kemudian minum es teh manis yang dingin sambil menikmati pemandangan indah di pantai.	Aing laju manuk nasi goreng nu rasa pedas sareng asin tina telur dadar anu enak, terus teueng cielan vo eskrim manis anu sejuk sabab brengsekna tatangkaran langkung alit di pantai.
Saya ingin makan nasi, kemudian minum jus mangga, lalu pergi ke gym untuk berolahraga, dan akhirnya pulang ke rumah untuk tidur.	Abdi henteu nyayogikeun nasi, nepi ka kudu nyeduh jus mempelam, terus datang ka gim pisan kanggo nyieun olahraga, sareng pamiaran ka rumah kanggo tidur disababna kaasup bareng-bareng.
Pada saat ini, kita harus memikirkan masa depan yang lebih cerah, membuka peluang untuk pengembangan diri, dan menjaga kesehatan untuk memastikan bahwa kita dapat mencapai tujuan dan meraih kebahagiaan dalam hidup.	Sapertos ayeuna, kuring kudu ngarancang masa depan anu luwih jadi, nyadiakeun pangalusna pikeun pangembangan diri, sareng méréuh kasehatan pikeun mastikeun yén kuring bisa ngajantenkeun tujuan sareng nabungkeun kapanjenengan dina makeheuteuhan.
